values,unit,isced11,sex,geo,time
188199.0,NR,ED1,T,IE05,2018
275408.0,NR,ED1,T,IE06,2018
0.0,NR,ED1,T,IEZZ,2018
32421.0,NR,ED1,T,IS00,2018
201370.0,NR,ED1,T,ITC1,2018
5888.0,NR,ED1,T,ITC2,2018
64989.0,NR,ED1,T,ITC3,2018
496219.0,NR,ED1,T,ITC4,2018
57053.0,NR,ED1,T,ITF1,2018
13218.0,NR,ED1,T,ITF2,2018
300849.0,NR,ED1,T,ITF3,2018
189732.0,NR,ED1,T,ITF4,2018
23884.0,NR,ED1,T,ITF5,2018
90503.0,NR,ED1,T,ITF6,2018
243942.0,NR,ED1,T,ITG1,2018
68187.0,NR,ED1,T,ITG2,2018
27647.0,NR,ED1,T,ITH1,2018
27012.0,NR,ED1,T,ITH2,2018
237624.0,NR,ED1,T,ITH3,2018
52724.0,NR,ED1,T,ITH4,2018
214280.0,NR,ED1,T,ITH5,2018
168756.0,NR,ED1,T,ITI1,2018
38909.0,NR,ED1,T,ITI2,2018
71888.0,NR,ED1,T,ITI3,2018
276089.0,NR,ED1,T,ITI4,2018
0.0,NR,ED1,T,ITZZ,2018
1999.0,NR,ED1,T,LI00,2018
37142.0,NR,ED1,T,LT01,2018
79484.0,NR,ED1,T,LT02,2018
,NR,ED1,T,LTZZ,2018
38173.0,NR,ED1,T,LU00,2018
121674.0,NR,ED1,T,LV00,2018
39288.0,NR,ED1,T,ME00,2018
109818.0,NR,ED1,T,MK00,2018
26532.0,NR,ED1,T,MT00,2018
35667.0,NR,ED1,T,NL11,2018
45570.0,NR,ED1,T,NL12,2018
33372.0,NR,ED1,T,NL13,2018
84209.0,NR,ED1,T,NL21,2018
141511.0,NR,ED1,T,NL22,2018
33868.0,NR,ED1,T,NL23,2018
95939.0,NR,ED1,T,NL31,2018
187079.0,NR,ED1,T,NL32,2018
256673.0,NR,ED1,T,NL33,2018
24607.0,NR,ED1,T,NL34,2018
166918.0,NR,ED1,T,NL41,2018
62219.0,NR,ED1,T,NL42,2018
7386.0,NR,ED1,T,NLZZ,2018
107193.0,NR,ED1,T,NO01,2018
29479.0,NR,ED1,T,NO02,2018
83233.0,NR,ED1,T,NO03,2018
72700.0,NR,ED1,T,NO04,2018
77299.0,NR,ED1,T,NO05,2018
38356.0,NR,ED1,T,NO06,2018
39095.0,NR,ED1,T,NO07,2018
0.0,NR,ED1,T,NOZZ,2018
206866.0,NR,ED1,T,PL21,2018
256468.0,NR,ED1,T,PL22,2018
226735.0,NR,ED1,T,PL41,2018
95601.0,NR,ED1,T,PL42,2018
60945.0,NR,ED1,T,PL43,2018
161876.0,NR,ED1,T,PL51,2018
50429.0,NR,ED1,T,PL52,2018
123398.0,NR,ED1,T,PL61,2018
84191.0,NR,ED1,T,PL62,2018
148575.0,NR,ED1,T,PL63,2018
139315.0,NR,ED1,T,PL71,2018
67098.0,NR,ED1,T,PL72,2018
121683.0,NR,ED1,T,PL81,2018
122999.0,NR,ED1,T,PL82,2018
66268.0,NR,ED1,T,PL84,2018
200136.0,NR,ED1,T,PL91,2018
144900.0,NR,ED1,T,PL92,2018
0.0,NR,ED1,T,PLZZ,2018
205952.0,NR,ED1,T,PT11,2018
29656.0,NR,ED1,T,PT15,2018
119808.0,NR,ED1,T,PT16,2018
191063.0,NR,ED1,T,PT17,2018
41230.0,NR,ED1,T,PT18,2018
17375.0,NR,ED1,T,PT20,2018
16576.0,NR,ED1,T,PT30,2018
0.0,NR,ED1,T,PTZZ,2018
123866.0,NR,ED1,T,RO11,2018
120080.0,NR,ED1,T,RO12,2018
172499.0,NR,ED1,T,RO21,2018
120839.0,NR,ED1,T,RO22,2018
138333.0,NR,ED1,T,RO31,2018
109991.0,NR,ED1,T,RO32,2018
85014.0,NR,ED1,T,RO41,2018
77309.0,NR,ED1,T,RO42,2018
0.0,NR,ED1,T,ROZZ,2018
66039.0,NR,ED1,T,RS11,2018
71073.0,NR,ED1,T,RS12,2018
73617.0,NR,ED1,T,RS21,2018
54279.0,NR,ED1,T,RS22,2018
,NR,ED1,T,RSZZ,2018
214268.0,NR,ED1,T,SE11,2018
148572.0,NR,ED1,T,SE12,2018
73908.0,NR,ED1,T,SE21,2018
135959.0,NR,ED1,T,SE22,2018
177505.0,NR,ED1,T,SE23,2018
71290.0,NR,ED1,T,SE31,2018
32259.0,NR,ED1,T,SE32,2018
39730.0,NR,ED1,T,SE33,2018
0.0,NR,ED1,T,SEZZ,2018
65384.0,NR,ED1,T,SI03,2018
63738.0,NR,ED1,T,SI04,2018
0.0,NR,ED1,T,SIZZ,2018
29547.0,NR,ED1,T,SK01,2018
68561.0,NR,ED1,T,SK02,2018
54538.0,NR,ED1,T,SK03,2018
76810.0,NR,ED1,T,SK04,2018
0.0,NR,ED1,T,SKZZ,2018
,NR,ED1,T,TRZZ,2018
,NR,ED1,T,TR10,2018
,NR,ED1,T,TR21,2018
,NR,ED1,T,TR22,2018
,NR,ED1,T,TR31,2018
,NR,ED1,T,TR32,2018
,NR,ED1,T,TR33,2018
,NR,ED1,T,TR41,2018
,NR,ED1,T,TR42,2018
