values,indic_de,unit,geo,time
48.6,MEDAGEPOP,YR,DE71B,2019
45.5,MEDAGEPOP,YR,DE71C,2019
48.2,MEDAGEPOP,YR,DE71D,2019
46.4,MEDAGEPOP,YR,DE71E,2019
42.1,MEDAGEPOP,YR,DE721,2019
47.0,MEDAGEPOP,YR,DE722,2019
47.0,MEDAGEPOP,YR,DE723,2019
43.0,MEDAGEPOP,YR,DE724,2019
50.0,MEDAGEPOP,YR,DE725,2019
41.0,MEDAGEPOP,YR,DE731,2019
45.6,MEDAGEPOP,YR,DE732,2019
48.5,MEDAGEPOP,YR,DE733,2019
49.5,MEDAGEPOP,YR,DE734,2019
48.5,MEDAGEPOP,YR,DE735,2019
48.5,MEDAGEPOP,YR,DE736,2019
50.2,MEDAGEPOP,YR,DE737,2019
44.2,MEDAGEPOP,YR,DE803,2019
47.7,MEDAGEPOP,YR,DE804,2019
51.8,MEDAGEPOP,YR,DE80J,2019
50.7,MEDAGEPOP,YR,DE80K,2019
51.7,MEDAGEPOP,YR,DE80L,2019
49.5,MEDAGEPOP,YR,DE80M,2019
50.6,MEDAGEPOP,YR,DE80N,2019
50.8,MEDAGEPOP,YR,DE80O,2019
43.1,MEDAGEPOP,YR,DE911,2019
45.7,MEDAGEPOP,YR,DE912,2019
44.8,MEDAGEPOP,YR,DE913,2019
46.3,MEDAGEPOP,YR,DE914,2019
50.8,MEDAGEPOP,YR,DE916,2019
48.9,MEDAGEPOP,YR,DE917,2019
50.4,MEDAGEPOP,YR,DE918,2019
47.0,MEDAGEPOP,YR,DE91A,2019
49.0,MEDAGEPOP,YR,DE91B,2019
46.2,MEDAGEPOP,YR,DE91C,2019
47.9,MEDAGEPOP,YR,DE922,2019
49.9,MEDAGEPOP,YR,DE923,2019
47.8,MEDAGEPOP,YR,DE925,2019
50.4,MEDAGEPOP,YR,DE926,2019
47.8,MEDAGEPOP,YR,DE927,2019
49.4,MEDAGEPOP,YR,DE928,2019
44.6,MEDAGEPOP,YR,DE929,2019
47.5,MEDAGEPOP,YR,DE931,2019
49.6,MEDAGEPOP,YR,DE932,2019
47.6,MEDAGEPOP,YR,DE933,2019
51.8,MEDAGEPOP,YR,DE934,2019
45.1,MEDAGEPOP,YR,DE935,2019
48.9,MEDAGEPOP,YR,DE936,2019
46.7,MEDAGEPOP,YR,DE937,2019
47.3,MEDAGEPOP,YR,DE938,2019
46.0,MEDAGEPOP,YR,DE939,2019
50.1,MEDAGEPOP,YR,DE93A,2019
47.2,MEDAGEPOP,YR,DE93B,2019
45.6,MEDAGEPOP,YR,DE941,2019
44.5,MEDAGEPOP,YR,DE942,2019
41.9,MEDAGEPOP,YR,DE943,2019
39.9,MEDAGEPOP,YR,DE944,2019
48.3,MEDAGEPOP,YR,DE945,2019
47.6,MEDAGEPOP,YR,DE946,2019
47.8,MEDAGEPOP,YR,DE947,2019
41.0,MEDAGEPOP,YR,DE948,2019
44.1,MEDAGEPOP,YR,DE949,2019
50.3,MEDAGEPOP,YR,DE94A,2019
45.7,MEDAGEPOP,YR,DE94B,2019
46.2,MEDAGEPOP,YR,DE94C,2019
47.4,MEDAGEPOP,YR,DE94D,2019
46.1,MEDAGEPOP,YR,DE94E,2019
40.9,MEDAGEPOP,YR,DE94F,2019
48.8,MEDAGEPOP,YR,DE94G,2019
49.0,MEDAGEPOP,YR,DE94H,2019
42.4,MEDAGEPOP,YR,DEA11,2019
44.1,MEDAGEPOP,YR,DEA12,2019
44.7,MEDAGEPOP,YR,DEA13,2019
46.3,MEDAGEPOP,YR,DEA14,2019
45.4,MEDAGEPOP,YR,DEA15,2019
47.8,MEDAGEPOP,YR,DEA16,2019
46.5,MEDAGEPOP,YR,DEA17,2019
46.9,MEDAGEPOP,YR,DEA18,2019
46.4,MEDAGEPOP,YR,DEA19,2019
44.4,MEDAGEPOP,YR,DEA1A,2019
46.4,MEDAGEPOP,YR,DEA1B,2019
48.4,MEDAGEPOP,YR,DEA1C,2019
47.0,MEDAGEPOP,YR,DEA1D,2019
48.4,MEDAGEPOP,YR,DEA1E,2019
48.9,MEDAGEPOP,YR,DEA1F,2019
40.2,MEDAGEPOP,YR,DEA22,2019
40.5,MEDAGEPOP,YR,DEA23,2019
46.0,MEDAGEPOP,YR,DEA24,2019
46.6,MEDAGEPOP,YR,DEA26,2019
46.3,MEDAGEPOP,YR,DEA27,2019
47.7,MEDAGEPOP,YR,DEA28,2019
46.9,MEDAGEPOP,YR,DEA29,2019
46.7,MEDAGEPOP,YR,DEA2A,2019
48.6,MEDAGEPOP,YR,DEA2B,2019
46.6,MEDAGEPOP,YR,DEA2C,2019
43.2,MEDAGEPOP,YR,DEA2D,2019
47.7,MEDAGEPOP,YR,DEA31,2019
44.7,MEDAGEPOP,YR,DEA32,2019
38.5,MEDAGEPOP,YR,DEA33,2019
44.8,MEDAGEPOP,YR,DEA34,2019
47.0,MEDAGEPOP,YR,DEA35,2019
48.0,MEDAGEPOP,YR,DEA36,2019
45.5,MEDAGEPOP,YR,DEA37,2019
46.4,MEDAGEPOP,YR,DEA38,2019
42.4,MEDAGEPOP,YR,DEA41,2019
44.9,MEDAGEPOP,YR,DEA42,2019
47.0,MEDAGEPOP,YR,DEA43,2019
48.2,MEDAGEPOP,YR,DEA44,2019
46.8,MEDAGEPOP,YR,DEA45,2019
46.9,MEDAGEPOP,YR,DEA46,2019
42.2,MEDAGEPOP,YR,DEA47,2019
45.3,MEDAGEPOP,YR,DEA51,2019
43.8,MEDAGEPOP,YR,DEA52,2019
46.2,MEDAGEPOP,YR,DEA53,2019
44.7,MEDAGEPOP,YR,DEA54,2019
46.1,MEDAGEPOP,YR,DEA55,2019
48.9,MEDAGEPOP,YR,DEA56,2019
47.6,MEDAGEPOP,YR,DEA57,2019
47.4,MEDAGEPOP,YR,DEA58,2019
46.1,MEDAGEPOP,YR,DEA59,2019
45.8,MEDAGEPOP,YR,DEA5A,2019
46.7,MEDAGEPOP,YR,DEA5B,2019
47.9,MEDAGEPOP,YR,DEA5C,2019
42.6,MEDAGEPOP,YR,DEB11,2019
49.6,MEDAGEPOP,YR,DEB12,2019
47.7,MEDAGEPOP,YR,DEB13,2019
48.4,MEDAGEPOP,YR,DEB14,2019
49.5,MEDAGEPOP,YR,DEB15,2019
47.4,MEDAGEPOP,YR,DEB17,2019
47.6,MEDAGEPOP,YR,DEB18,2019
48.8,MEDAGEPOP,YR,DEB1A,2019
47.1,MEDAGEPOP,YR,DEB1B,2019
49.9,MEDAGEPOP,YR,DEB1C,2019
48.5,MEDAGEPOP,YR,DEB1D,2019
39.1,MEDAGEPOP,YR,DEB21,2019
48.2,MEDAGEPOP,YR,DEB22,2019
46.6,MEDAGEPOP,YR,DEB23,2019
49.9,MEDAGEPOP,YR,DEB24,2019
46.9,MEDAGEPOP,YR,DEB25,2019
45.8,MEDAGEPOP,YR,DEB31,2019
42.0,MEDAGEPOP,YR,DEB32,2019
42.3,MEDAGEPOP,YR,DEB33,2019
42.0,MEDAGEPOP,YR,DEB34,2019
38.5,MEDAGEPOP,YR,DEB35,2019
49.0,MEDAGEPOP,YR,DEB36,2019
49.6,MEDAGEPOP,YR,DEB37,2019
47.4,MEDAGEPOP,YR,DEB38,2019
44.2,MEDAGEPOP,YR,DEB39,2019
46.7,MEDAGEPOP,YR,DEB3A,2019
46.7,MEDAGEPOP,YR,DEB3B,2019
50.1,MEDAGEPOP,YR,DEB3C,2019
48.2,MEDAGEPOP,YR,DEB3D,2019
45.8,MEDAGEPOP,YR,DEB3E,2019
47.3,MEDAGEPOP,YR,DEB3F,2019
50.1,MEDAGEPOP,YR,DEB3G,2019
49.3,MEDAGEPOP,YR,DEB3H,2019
48.1,MEDAGEPOP,YR,DEB3I,2019
46.9,MEDAGEPOP,YR,DEB3J,2019
51.1,MEDAGEPOP,YR,DEB3K,2019
47.0,MEDAGEPOP,YR,DEC01,2019
49.0,MEDAGEPOP,YR,DEC02,2019
50.1,MEDAGEPOP,YR,DEC03,2019
49.5,MEDAGEPOP,YR,DEC04,2019
50.3,MEDAGEPOP,YR,DEC05,2019
50.8,MEDAGEPOP,YR,DEC06,2019
40.8,MEDAGEPOP,YR,DED21,2019
