values,indic_de,unit,geo,time
13.7,PC_Y0_14,PC,DEB1B,2019
12.2,PC_Y0_14,PC,DEB1C,2019
13.0,PC_Y0_14,PC,DEB1D,2019
11.9,PC_Y0_14,PC,DEB21,2019
13.2,PC_Y0_14,PC,DEB22,2019
13.9,PC_Y0_14,PC,DEB23,2019
12.4,PC_Y0_14,PC,DEB24,2019
14.1,PC_Y0_14,PC,DEB25,2019
14.2,PC_Y0_14,PC,DEB31,2019
12.3,PC_Y0_14,PC,DEB32,2019
12.5,PC_Y0_14,PC,DEB33,2019
15.4,PC_Y0_14,PC,DEB34,2019
12.5,PC_Y0_14,PC,DEB35,2019
13.1,PC_Y0_14,PC,DEB36,2019
12.6,PC_Y0_14,PC,DEB37,2019
13.1,PC_Y0_14,PC,DEB38,2019
14.4,PC_Y0_14,PC,DEB39,2019
12.8,PC_Y0_14,PC,DEB3A,2019
14.0,PC_Y0_14,PC,DEB3B,2019
12.6,PC_Y0_14,PC,DEB3C,2019
13.6,PC_Y0_14,PC,DEB3D,2019
14.0,PC_Y0_14,PC,DEB3E,2019
14.3,PC_Y0_14,PC,DEB3F,2019
12.5,PC_Y0_14,PC,DEB3G,2019
13.0,PC_Y0_14,PC,DEB3H,2019
13.8,PC_Y0_14,PC,DEB3I,2019
14.3,PC_Y0_14,PC,DEB3J,2019
11.5,PC_Y0_14,PC,DEB3K,2019
12.3,PC_Y0_14,PC,DEC01,2019
12.3,PC_Y0_14,PC,DEC02,2019
11.9,PC_Y0_14,PC,DEC03,2019
12.3,PC_Y0_14,PC,DEC04,2019
11.9,PC_Y0_14,PC,DEC05,2019
11.4,PC_Y0_14,PC,DEC06,2019
14.6,PC_Y0_14,PC,DED21,2019
13.4,PC_Y0_14,PC,DED2C,2019
12.5,PC_Y0_14,PC,DED2D,2019
13.4,PC_Y0_14,PC,DED2E,2019
13.9,PC_Y0_14,PC,DED2F,2019
12.8,PC_Y0_14,PC,DED41,2019
12.8,PC_Y0_14,PC,DED42,2019
12.7,PC_Y0_14,PC,DED43,2019
11.9,PC_Y0_14,PC,DED44,2019
12.2,PC_Y0_14,PC,DED45,2019
13.9,PC_Y0_14,PC,DED51,2019
13.3,PC_Y0_14,PC,DED52,2019
13.0,PC_Y0_14,PC,DED53,2019
11.2,PC_Y0_14,PC,DEE01,2019
13.5,PC_Y0_14,PC,DEE02,2019
12.9,PC_Y0_14,PC,DEE03,2019
12.9,PC_Y0_14,PC,DEE04,2019
11.5,PC_Y0_14,PC,DEE05,2019
12.4,PC_Y0_14,PC,DEE06,2019
13.1,PC_Y0_14,PC,DEE07,2019
11.8,PC_Y0_14,PC,DEE08,2019
11.5,PC_Y0_14,PC,DEE09,2019
11.2,PC_Y0_14,PC,DEE0A,2019
12.8,PC_Y0_14,PC,DEE0B,2019
11.7,PC_Y0_14,PC,DEE0C,2019
12.2,PC_Y0_14,PC,DEE0D,2019
11.5,PC_Y0_14,PC,DEE0E,2019
13.1,PC_Y0_14,PC,DEF01,2019
12.4,PC_Y0_14,PC,DEF02,2019
12.5,PC_Y0_14,PC,DEF03,2019
13.5,PC_Y0_14,PC,DEF04,2019
12.7,PC_Y0_14,PC,DEF05,2019
14.3,PC_Y0_14,PC,DEF06,2019
12.6,PC_Y0_14,PC,DEF07,2019
11.7,PC_Y0_14,PC,DEF08,2019
14.1,PC_Y0_14,PC,DEF09,2019
12.9,PC_Y0_14,PC,DEF0A,2019
13.6,PC_Y0_14,PC,DEF0B,2019
13.8,PC_Y0_14,PC,DEF0C,2019
14.0,PC_Y0_14,PC,DEF0D,2019
13.2,PC_Y0_14,PC,DEF0E,2019
14.3,PC_Y0_14,PC,DEF0F,2019
13.5,PC_Y0_14,PC,DEG01,2019
12.2,PC_Y0_14,PC,DEG02,2019
13.4,PC_Y0_14,PC,DEG03,2019
10.3,PC_Y0_14,PC,DEG04,2019
13.9,PC_Y0_14,PC,DEG05,2019
14.4,PC_Y0_14,PC,DEG06,2019
12.6,PC_Y0_14,PC,DEG07,2019
13.5,PC_Y0_14,PC,DEG09,2019
12.0,PC_Y0_14,PC,DEG0A,2019
12.1,PC_Y0_14,PC,DEG0B,2019
12.8,PC_Y0_14,PC,DEG0C,2019
13.2,PC_Y0_14,PC,DEG0D,2019
12.3,PC_Y0_14,PC,DEG0E,2019
12.6,PC_Y0_14,PC,DEG0F,2019
14.0,PC_Y0_14,PC,DEG0G,2019
11.2,PC_Y0_14,PC,DEG0H,2019
11.6,PC_Y0_14,PC,DEG0I,2019
12.8,PC_Y0_14,PC,DEG0J,2019
12.4,PC_Y0_14,PC,DEG0K,2019
11.7,PC_Y0_14,PC,DEG0L,2019
11.5,PC_Y0_14,PC,DEG0M,2019
12.8,PC_Y0_14,PC,DEG0N,2019
12.7,PC_Y0_14,PC,DEG0P,2019
15.5,PC_Y0_14,PC,DK011,2019
18.2,PC_Y0_14,PC,DK012,2019
17.3,PC_Y0_14,PC,DK013,2019
13.5,PC_Y0_14,PC,DK014,2019
17.6,PC_Y0_14,PC,DK021,2019
15.3,PC_Y0_14,PC,DK022,2019
15.7,PC_Y0_14,PC,DK031,2019
16.7,PC_Y0_14,PC,DK032,2019
17.2,PC_Y0_14,PC,DK041,2019
16.9,PC_Y0_14,PC,DK042,2019
15.8,PC_Y0_14,PC,DK050,2019
17.5,PC_Y0_14,PC,EE001,2019
15.2,PC_Y0_14,PC,EE004,2019
15.9,PC_Y0_14,PC,EE006,2019
13.6,PC_Y0_14,PC,EE007,2019
16.3,PC_Y0_14,PC,EE008,2019
14.3,PC_Y0_14,PC,EL301,2019
15.2,PC_Y0_14,PC,EL302,2019
13.2,PC_Y0_14,PC,EL303,2019
14.0,PC_Y0_14,PC,EL304,2019
15.4,PC_Y0_14,PC,EL305,2019
17.1,PC_Y0_14,PC,EL306,2019
13.9,PC_Y0_14,PC,EL307,2019
17.0,PC_Y0_14,PC,EL411,2019
16.6,PC_Y0_14,PC,EL412,2019
15.9,PC_Y0_14,PC,EL413,2019
16.5,PC_Y0_14,PC,EL421,2019
16.4,PC_Y0_14,PC,EL422,2019
16.7,PC_Y0_14,PC,EL431,2019
14.1,PC_Y0_14,PC,EL432,2019
16.5,PC_Y0_14,PC,EL433,2019
16.1,PC_Y0_14,PC,EL434,2019
